## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\manybabies1_attn\P01-[f9b16ac0-58b8-4f99-aa4d-1bbb4b226e5f]\P01-eye_data.idf
## Date:	26.08.2016 13:30:30
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6332                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	P01                                                                                                                                                                                                                                                             
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
10587537615	MSG	1	# Message: 56db83f8db8a8235e9a1cc409d7a167e.avi
10587543459	SMP	1	1626.55	1180.20	1362.14	1187.80	15.98	15.98	4.63	15.75	15.75	4.37	1624.73	1180.98	1628.53	1181.02	1359.98	1188.73	1364.44	1188.76	454.47	556.70	502.70	544.76	0	1	1	2	-1	-1	-82.89	-123.40	923.19	-5.15	-118.22	868.49	0.09	0.18	-0.98	0.01	0.19	-0.98	0	 -1	
10587576417	SMP	1	1626.28	1180.07	1361.98	1187.81	15.69	15.69	4.58	15.78	15.78	4.33	1624.37	1180.99	1628.50	1181.04	1359.75	1188.91	1364.23	1188.81	460.93	542.33	504.72	537.38	0	1	1	2	-1	-1	-81.36	-121.22	906.80	-5.09	-118.15	867.72	0.10	0.19	-0.98	0.01	0.19	-0.98	0	 -1	
10587609719	SMP	1	1626.13	1180.03	1361.96	1187.88	15.71	15.71	4.53	15.66	15.66	4.29	1624.14	1180.98	1628.37	1181.02	1359.51	1188.95	1364.02	1188.79	462.55	542.71	500.83	542.74	0	1	1	2	-1	-1	-80.82	-120.49	901.38	-5.02	-117.99	866.53	0.09	0.19	-0.98	-0.01	0.19	-0.98	0	 -1	
10587643013	SMP	1	1626.00	1180.13	1361.67	1188.00	15.66	15.66	4.49	15.73	15.73	4.26	1624.01	1180.98	1628.08	1180.99	1359.39	1188.96	1363.78	1188.85	461.74	554.30	504.97	550.54	0	1	1	2	-1	-1	-81.17	-121.11	906.02	-4.98	-118.15	867.59	0.09	0.18	-0.98	0.00	0.18	-0.98	0	 -1	
10587676430	SMP	1	1625.75	1179.99	1361.33	1188.29	15.55	15.55	4.46	15.67	15.67	4.23	1623.96	1181.02	1627.87	1181.10	1359.16	1189.01	1363.52	1188.97	466.25	532.51	508.34	583.10	0	1	1	2	-1	-1	-81.96	-122.35	915.15	-4.91	-118.25	868.18	0.10	0.19	-0.98	0.01	0.17	-0.98	0	 -1	
10587709859	SMP	1	1625.57	1179.53	1361.02	1187.61	15.68	15.68	4.45	15.68	15.68	4.21	1623.73	1180.77	1627.48	1180.61	1358.94	1188.71	1363.21	1188.61	462.72	514.03	511.05	544.92	0	1	1	2	-1	-1	-83.01	-123.94	927.88	-4.85	-118.44	870.27	0.09	0.20	-0.98	0.01	0.19	-0.98	0	 -1	
10587743026	SMP	1	1624.85	1178.36	1360.70	1186.52	15.73	15.73	4.43	15.91	15.91	4.21	1623.02	1179.99	1627.06	1179.96	1358.49	1188.15	1362.87	1188.08	464.88	364.53	511.92	409.73	0	1	1	2	-1	-1	-81.32	-121.46	910.82	-4.74	-118.18	869.41	0.10	0.22	-0.97	0.00	0.22	-0.97	0	 -1	
10587776314	SMP	1	1624.58	1178.48	1360.20	1186.76	15.85	15.85	4.44	16.08	16.08	4.21	1622.93	1180.01	1626.69	1180.14	1358.01	1188.48	1362.43	1188.33	468.32	355.34	513.90	400.47	0	1	1	2	-1	-1	-82.88	-123.92	929.12	-4.61	-118.18	868.87	0.10	0.23	-0.97	0.01	0.23	-0.97	0	 -1	
10587809659	SMP	1	1624.17	1178.51	1359.67	1187.06	15.72	15.72	4.41	16.00	16.00	4.21	1622.15	1180.02	1626.44	1180.16	1357.44	1188.58	1361.91	1188.50	467.57	371.17	515.53	420.93	0	1	1	2	-1	-1	-80.11	-120.00	899.67	-4.45	-118.11	868.05	0.09	0.22	-0.97	0.01	0.22	-0.98	0	 -1	
