## [iView]
## Converted from:	C:\Users\iView X\Desktop\Raw Results\P03-[6f5aae6b-00f1-4d16-808e-96ef806445af]\P03-eye_data.idf
## Date:	29.08.2016 10:13:34
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5238                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	P03                                                                                                                                                                                                                                                             
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2001685438	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
2036991191	MSG	1	# Message: 56db83f8db8a8235e9a1cc409d7a167e.avi
2037014713	SMP	1	1150.55	706.56	890.74	677.21	29.35	29.35	5.89	28.05	28.05	5.55	1150.22	706.89	1157.53	706.72	892.20	676.96	899.73	676.80	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	40.35	11.22	671.18	93.08	17.19	656.01	0.09	-0.01	-1.00	0.09	-0.04	-1.00	0	 -1	
2037047961	SMP	1	1148.63	709.09	889.06	680.11	29.58	29.58	5.91	28.07	28.07	5.55	1148.39	709.45	1155.53	709.35	890.57	679.63	898.05	679.54	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	40.99	10.72	675.01	93.73	16.68	658.10	0.09	0.00	-1.00	0.09	-0.05	-1.00	0	 -1	
2037081185	SMP	1	1147.40	710.63	888.18	682.10	29.30	29.30	5.91	27.97	27.97	5.56	1147.09	711.03	1154.41	710.90	889.63	681.88	897.11	681.68	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	41.16	10.37	673.47	94.11	16.25	659.39	0.09	0.00	-1.00	0.08	-0.04	-1.00	0	 -1	
2037114519	SMP	1	1146.82	711.72	887.75	683.79	29.23	29.23	5.91	27.93	27.93	5.56	1146.48	712.33	1153.80	712.15	889.18	683.51	896.89	683.54	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	41.32	10.10	673.90	93.81	15.83	656.83	0.09	0.01	-1.00	0.09	-0.04	-1.00	0	 -1	
2037147849	SMP	1	1146.60	712.95	887.74	685.30	29.29	29.29	5.92	27.74	27.74	5.56	1146.35	713.46	1153.41	713.43	889.11	685.24	896.59	685.23	0.00	0.00	773.73	811.59	0	1	1	2	-1	-1	41.64	9.91	678.33	94.36	15.55	660.37	0.08	0.01	-1.00	0.08	-0.03	-1.00	0	 -1	
2037181182	SMP	1	1146.57	714.42	887.67	687.04	29.29	29.29	5.93	27.66	27.66	5.56	1146.21	714.94	1153.47	714.72	889.21	686.97	896.56	686.89	0.00	0.00	778.80	819.71	0	1	1	2	-1	-1	41.55	9.59	676.64	94.73	15.26	663.06	0.08	0.00	-1.00	0.09	-0.03	-1.00	0	 -1	
2037214524	SMP	1	1154.33	710.35	896.49	683.54	29.57	29.57	5.94	27.81	27.81	5.56	1149.71	713.92	1157.03	713.88	894.15	686.23	901.77	686.30	513.77	511.15	560.97	536.11	0	1	1	2	-1	-1	40.77	9.78	676.33	93.32	15.34	660.63	-0.10	0.14	-0.99	-0.07	0.09	-0.99	0	 -1	
2037247857	SMP	1	1155.10	710.98	897.80	683.87	29.28	29.28	5.94	27.94	27.94	5.56	1150.25	714.81	1157.59	714.71	894.62	687.17	902.48	687.39	505.83	495.14	527.70	473.01	0	1	1	2	-1	-1	40.67	9.60	676.57	92.84	15.07	658.08	-0.11	0.15	-0.98	-0.10	0.12	-0.99	0	 -1	
