## [iView]
## Converted from:	C:\Users\iView X\Desktop\Raw Results\P06-[840f2e15-4a4b-4875-af61-2954c2c08aa3]\P06-eye_data.idf
## Date:	01.09.2016 12:45:16
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5239                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	P06                                                                                                                                                                                                                                                             
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4304899229	SMP	1	1818.78	1060.82	1538.12	1062.23	22.09	22.09	3.43	21.64	21.64	3.40	1812.42	1075.85	1824.29	1075.13	1533.97	1077.39	1545.74	1077.85	507.61	-45.66	515.93	-52.49	0	1	1	2	-1	-1	-78.97	-52.57	524.61	-33.02	-53.52	530.49	0.10	0.57	-0.81	0.11	0.60	-0.79	0	 -1	
4304932542	SMP	1	1818.97	1060.57	1538.03	1061.74	22.16	22.16	3.45	21.74	21.74	3.41	1812.50	1075.47	1824.05	1074.55	1534.00	1077.01	1545.69	1077.50	503.41	-45.42	517.56	-55.12	0	1	1	2	-1	-1	-79.49	-52.84	528.14	-33.03	-53.47	530.65	0.09	0.57	-0.82	0.11	0.61	-0.79	0	 -1	
4304965820	SMP	1	1818.80	1059.70	1537.94	1061.15	22.34	22.34	3.49	21.83	21.83	3.43	1812.36	1074.65	1823.43	1073.97	1533.77	1076.38	1545.46	1076.92	0.00	0.00	516.50	-56.93	0	1	1	2	-1	-1	-80.61	-53.51	536.01	-33.00	-53.39	530.80	0.08	0.58	-0.81	0.10	0.60	-0.79	0	 -1	
4304999204	SMP	1	1817.88	1058.36	1537.04	1060.03	22.12	22.12	3.49	22.07	22.07	3.45	1811.59	1073.78	1824.05	1074.05	1533.19	1075.40	1545.05	1076.15	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-78.29	-51.92	520.70	-32.90	-53.22	530.61	0.11	0.60	-0.79	0.12	0.61	-0.78	0	 -1	
4305032482	SMP	1	1816.83	1057.87	1536.08	1059.56	22.37	22.37	3.54	22.07	22.07	3.46	1810.65	1072.90	1821.14	1072.15	1532.68	1075.09	1544.16	1075.73	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-83.15	-55.12	555.23	-32.84	-53.25	531.56	0.08	0.60	-0.80	0.12	0.62	-0.78	0	 -1	
4305065815	SMP	1	1816.21	1057.73	1535.41	1059.60	22.42	22.42	3.56	21.88	21.88	3.47	1809.70	1072.70	1821.39	1071.72	1531.99	1074.94	1543.58	1075.74	506.15	-45.97	0.00	0.00	0	1	1	2	-1	-1	-79.01	-52.37	528.04	-32.75	-53.27	531.80	0.09	0.57	-0.82	0.13	0.61	-0.78	0	 -1	
4305099143	SMP	1	1815.30	1057.61	1534.71	1059.48	22.64	22.64	3.57	22.07	22.07	3.49	1808.90	1072.60	1820.80	1072.42	1531.28	1075.00	1542.75	1075.71	510.71	-50.09	0.00	0.00	0	1	1	2	-1	-1	-78.62	-52.24	526.21	-32.68	-53.36	532.73	0.10	0.58	-0.81	0.12	0.62	-0.78	0	 -1	
4305132502	SMP	1	1814.18	1057.11	1533.54	1059.28	22.68	22.68	3.57	22.33	22.33	3.51	1807.66	1072.41	1820.59	1072.76	1530.14	1074.72	1541.69	1075.57	517.32	-51.48	0.00	0.00	0	1	1	2	-1	-1	-76.61	-50.99	513.54	-32.51	-53.36	533.04	0.11	0.59	-0.80	0.12	0.62	-0.78	0	 -1	
4305165798	SMP	1	1812.79	1056.83	1532.25	1059.32	22.85	22.85	3.57	22.31	22.31	3.52	1806.43	1072.20	1819.14	1072.46	1528.72	1074.69	1540.39	1075.55	521.02	-54.20	0.00	0.00	0	1	1	2	-1	-1	-76.43	-50.98	513.85	-32.28	-53.35	533.00	0.11	0.59	-0.80	0.12	0.62	-0.78	0	 -1	
4305199142	SMP	1	1811.19	1056.18	1530.64	1058.69	22.85	22.85	3.56	22.28	22.28	3.53	1804.65	1071.45	1817.57	1071.80	1527.26	1074.20	1538.81	1074.92	522.38	-51.06	0.00	0.00	0	1	1	2	-1	-1	-75.51	-50.43	509.46	-32.06	-53.32	533.64	0.11	0.58	-0.81	0.13	0.62	-0.78	0	 -1	
