## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\manybabies1_longerelmo\mb-s10-[eb245c43-00d0-4ac9-a0e5-76bc42ed3f47]\mb-s10-eye_data.idf
## Date:	12.09.2016 15:42:57
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10935                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	mb-s10                                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
20194277486	SMP	1	1511.65	1189.35	0.00	0.00	25.08	25.08	4.33	0.00	0.00	0.00	1505.92	1193.80	1516.01	1194.21	0.00	0.00	0.00	0.00	572.91	527.06	0.00	0.00	0	1	0	1	-1	-1	-30.20	-78.39	568.85	0.00	0.00	0.00	0.02	0.30	-0.95	0.00	0.00	0.00	0	 -1	
20194310808	SMP	1	1512.84	1206.02	0.00	0.00	25.50	25.50	4.34	0.00	0.00	0.00	1507.58	1210.51	1517.79	1211.01	0.00	0.00	0.00	0.00	584.75	522.95	0.00	0.00	0	1	0	1	-1	-1	-30.50	-81.37	568.57	0.00	0.00	0.00	0.04	0.31	-0.95	0.00	0.00	0.00	0	 -1	
20194344113	SMP	1	1516.03	1223.93	0.00	0.00	26.28	26.28	4.37	0.00	0.00	0.00	1510.38	1228.01	1520.71	1228.54	0.00	0.00	0.00	0.00	579.06	537.57	0.00	0.00	0	1	0	1	-1	-1	-30.97	-84.43	567.93	0.00	0.00	0.00	0.03	0.30	-0.95	0.00	0.00	0.00	0	 -1	
20194377431	SMP	1	0.00	0.00	1279.40	1191.98	0.00	0.00	0.00	26.55	26.55	4.35	0.00	0.00	0.00	0.00	1277.94	1196.19	1287.67	1196.46	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	11.14	-80.17	578.70	0.00	0.00	0.00	0.11	0.29	-0.95	0	 -1	
20194410791	SMP	1	0.00	0.00	1286.26	1173.28	0.00	0.00	0.00	25.80	25.80	4.38	0.00	0.00	0.00	0.00	1284.79	1177.77	1294.34	1178.14	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	9.95	-77.20	581.72	0.00	0.00	0.00	0.11	0.30	-0.95	0	 -1	
20194444114	SMP	1	0.00	0.00	1289.73	1160.20	0.00	0.00	0.00	25.98	25.98	4.42	0.00	0.00	0.00	0.00	1288.15	1164.46	1297.68	1164.75	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	9.36	-74.95	583.43	0.00	0.00	0.00	0.11	0.29	-0.95	0	 -1	
20194477451	SMP	1	0.00	0.00	1292.74	1157.19	0.00	0.00	0.00	25.70	25.70	4.44	0.00	0.00	0.00	0.00	1290.93	1161.98	1300.54	1162.14	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	8.83	-74.46	583.25	0.00	0.00	0.00	0.10	0.30	-0.95	0	 -1	
20194510756	SMP	1	0.00	0.00	1295.78	1164.59	0.00	0.00	0.00	25.47	25.47	4.45	0.00	0.00	0.00	0.00	1294.33	1169.25	1303.86	1169.41	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	8.24	-76.06	585.19	0.00	0.00	0.00	0.11	0.30	-0.95	0	 -1	
20194544099	SMP	1	0.00	0.00	1299.69	1174.32	0.00	0.00	0.00	25.93	25.93	4.47	0.00	0.00	0.00	0.00	1297.68	1178.67	1307.49	1178.77	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	7.55	-77.42	582.34	0.00	0.00	0.00	0.10	0.29	-0.95	0	 -1	
20194577417	SMP	1	0.00	0.00	1301.67	1176.76	0.00	0.00	0.00	25.98	25.98	4.49	0.00	0.00	0.00	0.00	1299.75	1180.61	1309.68	1180.87	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	7.14	-77.62	581.01	0.00	0.00	0.00	0.10	0.28	-0.96	0	 -1	
