## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\manybabies1_longerelmo\mb-s12-[a1ee291d-315f-481b-b96f-6911144c54fe]\mb-s12-eye_data.idf
## Date:	15.09.2016 12:38:16
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9787                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	mb-s12                                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
10435057949	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
10435091335	SMP	1	1031.64	489.29	843.67	491.67	13.25	13.25	4.41	15.32	15.32	4.76	1029.38	490.53	1029.38	490.53	842.42	493.38	845.84	493.38	235.00	512.08	429.86	415.75	0	1	1	2	-1	-1	107.96	92.44	1083.72	159.22	84.85	1005.43	-0.26	0.00	-0.97	-0.13	0.03	-0.99	0	 -1	
10435124678	SMP	1	1035.87	489.92	848.54	491.89	14.37	14.37	4.45	15.30	15.30	4.75	1032.85	491.46	1036.08	491.50	847.48	493.87	850.82	493.93	400.49	462.80	443.43	373.96	0	1	1	2	-1	-1	103.77	90.01	1058.91	157.97	84.88	1007.66	-0.19	0.02	-0.98	-0.11	0.05	-0.99	0	 -1	
10435157924	SMP	1	1040.86	490.18	853.80	492.10	14.62	14.62	4.48	15.73	15.73	4.76	1038.15	492.15	1041.36	492.30	852.59	494.05	855.97	494.01	435.42	338.28	439.58	378.01	0	1	1	2	-1	-1	100.98	88.86	1048.34	155.72	84.50	1003.75	-0.17	0.06	-0.98	-0.12	0.04	-0.99	0	 -1	
10435191271	SMP	1	1045.83	491.14	858.91	492.14	14.83	14.83	4.52	15.93	15.93	4.78	1043.17	493.14	1046.36	493.29	857.58	494.29	860.93	494.23	447.74	334.65	432.63	356.78	0	1	1	2	-1	-1	98.88	88.15	1043.79	154.15	84.44	1003.82	-0.16	0.06	-0.98	-0.13	0.05	-0.99	0	 -1	
10435224600	SMP	1	1050.94	492.25	863.74	492.62	15.31	15.31	4.58	15.69	15.69	4.78	1048.25	494.17	1051.41	494.27	862.64	494.75	865.93	494.81	449.12	343.11	437.48	345.03	0	1	1	2	-1	-1	97.21	87.82	1043.83	153.03	84.54	1007.02	-0.17	0.05	-0.98	-0.11	0.06	-0.99	0	 -1	
10435257926	SMP	1	1055.64	492.82	868.45	492.74	15.05	15.05	4.60	15.87	15.87	4.80	1053.14	494.74	1056.33	494.65	867.46	494.95	870.79	494.98	462.87	362.55	443.77	336.11	0	1	1	2	-1	-1	94.97	87.10	1037.17	151.04	84.23	1004.02	-0.15	0.04	-0.99	-0.10	0.06	-0.99	0	 -1	
10435291279	SMP	1	1060.17	493.04	872.76	492.69	15.02	15.02	4.63	15.85	15.85	4.80	1057.51	495.00	1060.52	495.07	871.63	494.86	874.95	494.96	452.84	344.59	441.47	332.09	0	1	1	2	-1	-1	94.97	88.30	1052.77	149.64	84.21	1003.57	-0.17	0.05	-0.98	-0.11	0.06	-0.99	0	 -1	
10435324592	SMP	1	1064.46	492.79	876.82	492.20	15.20	15.20	4.66	15.97	15.97	4.82	1063.29	494.62	1063.29	494.62	875.83	494.49	879.01	494.47	450.93	366.71	444.18	321.96	0	1	1	2	-1	-1	92.43	87.37	1040.13	149.20	84.84	1009.50	-0.17	0.04	-0.99	-0.11	0.07	-0.99	0	 -1	
10435357923	SMP	1	1068.19	491.86	880.32	491.59	15.07	15.07	4.68	16.12	16.12	4.85	1065.54	493.65	1068.60	493.68	879.30	493.88	882.49	493.93	452.89	371.09	444.55	314.79	0	1	1	2	-1	-1	91.52	88.02	1044.08	148.16	85.07	1009.98	-0.16	0.04	-0.99	-0.11	0.07	-0.99	0	 -1	
