## [iView]
## Converted from:	C:\Users\iView X\Desktop\Raw Results\mb-s8-[19637710-5cc7-471b-82f5-3030c16d3afb]\mb-s8-eye_data.idf
## Date:	08.09.2016 15:08:19
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	12119                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	mb-s8                                                                                                                                                                                                                                                           
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4280255947	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4280355969	SMP	1	1268.98	998.62	1025.65	1022.84	24.37	24.37	4.48	23.53	23.53	4.21	1271.55	1006.06	0.00	0.00	1032.13	1031.11	1032.13	1031.11	1947.21	25.01	1815.17	75.28	0	1	1	2	-1	-1	13.09	-47.82	611.62	58.47	-51.00	592.10	0.26	0.36	-0.90	0.16	0.39	-0.91	0	 -1	
4280389165	SMP	1	1307.21	1008.62	1065.34	1035.66	24.44	24.44	4.54	23.20	23.20	4.38	1300.09	1015.64	1308.52	1015.93	1063.02	1043.56	1070.98	1043.31	553.27	50.45	1247.07	-67.64	0	1	1	2	-1	-1	7.76	-50.75	624.41	56.71	-58.25	646.90	-0.13	0.36	-0.92	-0.01	0.41	-0.91	0	 -1	
4280422537	SMP	1	1341.92	1016.78	1102.82	1046.26	23.73	23.73	4.51	23.61	23.61	4.43	1335.40	1024.17	1343.97	1024.55	1100.23	1053.58	1108.64	1053.53	635.43	19.03	1234.04	68.60	0	1	1	2	-1	-1	0.75	-52.34	623.13	48.04	-59.10	633.79	-0.09	0.38	-0.92	0.00	0.38	-0.92	0	 -1	
4280455884	SMP	1	1382.03	1020.62	1145.68	1048.96	24.47	24.47	4.54	22.94	22.94	4.41	1375.97	1026.88	1384.26	1027.30	1143.23	1056.26	1151.62	1056.17	665.34	166.75	1235.54	69.95	0	1	1	2	-1	-1	-7.30	-53.35	628.68	39.33	-59.53	632.66	-0.07	0.34	-0.94	0.02	0.38	-0.92	0	 -1	
4280489161	SMP	1	1409.32	1012.14	1174.29	1040.07	22.41	22.41	4.48	23.30	23.30	4.43	1403.02	1019.75	1411.06	1020.12	1171.69	1047.34	1179.88	1047.30	628.19	-9.53	1222.57	61.70	0	1	1	2	-1	-1	-12.81	-52.50	635.71	33.82	-58.06	636.08	-0.08	0.40	-0.92	0.01	0.38	-0.92	0	 -1	
4280522486	SMP	1	1430.11	1005.02	1195.65	1028.14	22.57	22.57	4.44	22.40	22.40	4.40	1423.77	1012.01	1431.91	1012.31	1193.13	1035.82	1201.17	1035.88	625.70	42.46	1217.62	-19.28	0	1	1	2	-1	-1	-17.00	-50.94	635.78	29.67	-56.03	639.34	-0.07	0.37	-0.93	0.02	0.40	-0.92	0	 -1	
4280555810	SMP	1	1444.54	1006.61	1209.93	1024.81	23.38	23.38	4.45	22.40	22.40	4.39	1438.70	1013.89	1446.74	1014.23	1208.05	1032.13	1216.07	1032.13	658.08	11.37	1254.88	34.97	0	1	1	2	-1	-1	-20.09	-51.57	638.76	26.70	-55.40	640.73	-0.05	0.38	-0.92	0.05	0.38	-0.92	0	 -1	
4280589148	SMP	1	1453.39	1024.17	1219.17	1034.53	23.05	23.05	4.45	23.23	23.23	4.41	1447.43	1031.46	1455.45	1031.79	1216.95	1041.74	1225.05	1041.79	651.65	11.08	1236.22	37.64	0	1	1	2	-1	-1	-21.91	-55.24	640.10	24.87	-57.33	640.44	-0.05	0.39	-0.92	0.04	0.38	-0.92	0	 -1	
4280622481	SMP	1	1453.68	1055.97	0.00	0.00	23.34	23.34	4.46	0.00	0.00	0.00	1447.54	1063.51	1455.57	1063.07	0.00	0.00	0.00	0.00	638.92	16.10	0.00	0.00	0	1	0	1	-1	-1	-21.95	-61.73	640.72	0.00	0.00	0.00	-0.06	0.39	-0.92	0.00	0.00	0.00	0	 -1	
4280655806	SMP	1	1439.49	1098.54	0.00	0.00	24.47	24.47	4.51	0.00	0.00	0.00	1433.43	1105.57	1441.73	1105.04	0.00	0.00	0.00	0.00	653.15	82.98	0.00	0.00	0	1	0	1	-1	-1	-19.00	-69.88	637.17	0.00	0.00	0.00	-0.05	0.38	-0.92	0.00	0.00	0.00	0	 -1	
4280689149	SMP	1	1407.88	1137.59	0.00	0.00	24.32	24.32	4.59	0.00	0.00	0.00	1402.08	1144.08	1409.25	1144.72	0.00	0.00	0.00	0.00	611.52	-5.54	0.00	0.00	0	1	0	1	-1	-1	-13.34	-82.64	677.04	0.00	0.00	0.00	-0.08	0.41	-0.91	0.00	0.00	0.00	0	 -1	
4280722462	SMP	1	1360.31	1164.29	0.00	0.00	23.04	23.04	4.72	0.00	0.00	0.00	1357.08	1169.94	1362.90	1170.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	-3.96	-98.65	757.21	0.00	0.00	0.00	-0.01	0.41	-0.91	0.00	0.00	0.00	0	 -1	
4280755794	SMP	1	0.00	0.00	1078.01	1177.91	0.00	0.00	0.00	23.01	23.01	4.44	0.00	0.00	0.00	0.00	1077.16	1184.76	1077.16	1184.76	0.00	0.00	869.27	35.83	0	0	1	1	-1	-1	0.00	0.00	0.00	55.21	-88.15	653.65	0.00	0.00	0.00	-0.11	0.41	-0.90	0	 -1	
4280789122	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
