## [iView]
## Converted from:	C:\Users\iView X\Desktop\Raw Results\s6-[4db23f41-c267-4d39-a363-347e85616e35]\s6-eye_data.idf
## Date:	06.09.2016 10:20:38
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9058                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	s6                                                                                                                                                                                                                                                              
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
328502789747	SMP	1	1065.32	877.04	0.00	0.00	22.91	22.91	4.16	0.00	0.00	0.00	1059.27	888.97	1068.78	889.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	52.41	-24.30	591.54	0.00	0.00	0.00	-0.12	0.49	-0.86	0.00	0.00	0.00	0	 -1	
328502823069	SMP	1	1073.87	876.90	0.00	0.00	23.00	23.00	4.15	0.00	0.00	0.00	1068.15	889.07	1077.60	889.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	50.77	-24.33	591.80	0.00	0.00	0.00	-0.11	0.50	-0.86	0.00	0.00	0.00	0	 -1	
328502856394	SMP	1	1082.96	877.23	0.00	0.00	23.06	23.06	4.14	0.00	0.00	0.00	1077.44	889.28	1086.87	889.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	49.06	-24.38	592.13	0.00	0.00	0.00	-0.10	0.50	-0.86	0.00	0.00	0.00	0	 -1	
328502889845	SMP	1	1092.29	878.16	842.44	866.66	23.74	23.74	4.16	20.89	20.89	3.75	1087.04	889.82	1096.51	889.98	840.02	879.47	849.75	879.46	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	47.27	-24.49	592.28	92.54	-22.27	585.44	-0.09	0.48	-0.87	-0.04	0.51	-0.86	0	 -1	
328502923057	SMP	1	1102.61	878.65	852.47	866.15	22.56	22.56	4.13	21.05	21.05	3.75	1097.22	890.59	1106.63	890.70	850.02	878.68	859.81	878.69	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	45.39	-24.65	592.66	90.20	-22.01	582.32	-0.09	0.49	-0.87	-0.04	0.50	-0.87	0	 -1	
328502956393	SMP	1	1112.33	880.04	862.29	865.77	22.65	22.65	4.12	21.08	21.08	3.75	1106.98	892.10	1116.28	892.19	859.59	878.32	869.41	878.34	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	43.62	-24.96	593.40	88.34	-21.92	581.73	-0.09	0.50	-0.86	-0.04	0.50	-0.86	0	 -1	
328502989732	SMP	1	1121.88	882.02	871.82	865.31	22.92	22.92	4.11	20.49	20.49	3.78	1116.55	894.03	1125.92	894.12	869.18	878.02	879.01	877.91	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	41.83	-25.34	593.70	86.52	-21.84	581.42	-0.08	0.50	-0.86	-0.04	0.50	-0.86	0	 -1	
328503023055	SMP	1	1130.99	883.64	880.44	864.52	22.33	22.33	4.09	20.36	20.36	3.78	1125.61	895.85	1134.96	896.00	878.07	877.32	887.81	877.30	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	40.16	-25.71	594.17	84.95	-21.74	581.81	-0.08	0.50	-0.86	-0.03	0.51	-0.86	0	 -1	
328503056367	SMP	1	1139.91	885.62	889.79	863.11	23.10	23.10	4.10	20.28	20.28	3.76	1134.60	897.30	1144.11	897.41	887.15	875.89	896.97	875.82	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	38.44	-25.97	593.96	83.25	-21.46	581.70	-0.07	0.49	-0.87	-0.03	0.51	-0.86	0	 -1	
328503089698	SMP	1	1148.84	886.74	898.35	861.34	23.04	23.04	4.10	20.36	20.36	3.75	1143.48	898.51	1152.98	898.66	895.75	874.09	905.68	873.98	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	36.77	-26.20	594.03	81.56	-21.10	581.03	-0.07	0.49	-0.87	-0.03	0.50	-0.86	0	 -1	
