lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time
lpp-paris-gervain,mb_003,IDS,IDS-1.aiff,1,21.002,
lpp-paris-gervain,mb_003,ADS,ADS-1.aiff,2,4.96,
lpp-paris-gervain,mb_003,IDS,IDS-2.aiff,3,6.84,
lpp-paris-gervain,mb_003,ADS,ADS-2.aiff,4,1.88,
lpp-paris-gervain,mb_003,ADS,ADS-3.aiff,5,2.04,
lpp-paris-gervain,mb_003,IDS,IDS-3.aiff,6,12.52,
lpp-paris-gervain,mb_003,IDS,IDS-4.aiff,7,9.598,
lpp-paris-gervain,mb_003,ADS,ADS-4.aiff,8,17.76,
lpp-paris-gervain,mb_003,ADS,ADS-5.aiff,9,6.718,
lpp-paris-gervain,mb_003,IDS,IDS-5.aiff,10,4.038,
lpp-paris-gervain,mb_003,ADS,ADS-6.aiff,11,5.118,
lpp-paris-gervain,mb_003,IDS,IDS-6.aiff,12,1.598,
lpp-paris-gervain,mb_003,IDS,IDS-7.aiff,13,6.32,
lpp-paris-gervain,mb_003,ADS,ADS-7.aiff,14,0.3056,
lpp-paris-gervain,mb_003,ADS,ADS-8.aiff,15,4.558,
lpp-paris-gervain,mb_003,IDS,IDS-8.aiff,16,0.878,
lpp-paris-gervain,mb_004,IDS,IDS-1.aiff,1,6.72,
lpp-paris-gervain,mb_004,ADS,ADS-1.aiff,2,1.28,
lpp-paris-gervain,mb_004,IDS,IDS-2.aiff,3,0.68,
lpp-paris-gervain,mb_004,ADS,ADS-2.aiff,4,1.88,
lpp-paris-gervain,mb_004,ADS,ADS-3.aiff,5,1.76,
lpp-paris-gervain,mb_004,IDS,IDS-3.aiff,6,4.96,
lpp-paris-gervain,mb_004,IDS,IDS-4.aiff,7,9.518,
lpp-paris-gervain,mb_004,ADS,ADS-4.aiff,8,2.64,
lpp-paris-gervain,mb_004,ADS,ADS-5.aiff,9,5.44,
lpp-paris-gervain,mb_004,IDS,IDS-5.aiff,10,1.238,
lpp-paris-gervain,mb_004,ADS,ADS-6.aiff,11,0.88,
lpp-paris-gervain,mb_004,IDS,IDS-6.aiff,12,0.84,
lpp-paris-gervain,mb_004,IDS,IDS-7.aiff,13,1.04,
lpp-paris-gervain,mb_004,ADS,ADS-7.aiff,14,0.2117,
lpp-paris-gervain,mb_004,ADS,ADS-8.aiff,15,0.68,
lpp-paris-gervain,mb_004,IDS,IDS-8.aiff,16,3.038,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
