lab,method,subid,age_days,trial_type,trial_num,looking_time
plymouth,HPP,1,331.0,IDS,1.0,20.194
plymouth,HPP,1,331.0,ADS,1.0,20.199
plymouth,HPP,1,331.0,IDS,2.0,2.715
plymouth,HPP,1,331.0,ADS,2.0,16.488
plymouth,HPP,1,331.0,ADS,3.0,18.237
plymouth,HPP,1,331.0,IDS,3.0,13.777
plymouth,HPP,1,331.0,IDS,4.0,4.247
plymouth,HPP,1,331.0,ADS,4.0,17.37
plymouth,HPP,1,331.0,ADS,5.0,3.93
plymouth,HPP,1,331.0,IDS,5.0,7.647
plymouth,HPP,1,331.0,ADS,6.0,8.835
plymouth,HPP,1,331.0,IDS,6.0,4.457
plymouth,HPP,1,331.0,IDS,7.0,9.819
plymouth,HPP,1,331.0,ADS,7.0,3.709
plymouth,HPP,1,331.0,ADS,8.0,5.456
plymouth,HPP,1,331.0,IDS,8.0,7.311
plymouth,HPP,2,342.0,ADS,1.0,9.261
plymouth,HPP,2,342.0,IDS,1.0,9.499
plymouth,HPP,2,342.0,ADS,2.0,5.452
plymouth,HPP,2,342.0,IDS,2.0,11.574
plymouth,HPP,2,342.0,IDS,3.0,4.147
plymouth,HPP,2,342.0,ADS,3.0,1.75
plymouth,HPP,2,342.0,ADS,4.0,5.883
plymouth,HPP,2,342.0,IDS,4.0,1.738
plymouth,HPP,2,342.0,IDS,5.0,0.761
plymouth,HPP,2,342.0,ADS,5.0,0.434
plymouth,HPP,2,342.0,IDS,6.0,0.0
plymouth,HPP,3,325.0,IDS,1.0,9.379
plymouth,HPP,3,325.0,ADS,1.0,3.494
plymouth,HPP,3,325.0,ADS,2.0,1.853
plymouth,HPP,3,325.0,IDS,2.0,5.248
plymouth,HPP,3,325.0,ADS,3.0,13.208
plymouth,HPP,3,325.0,IDS,3.0,0.873
plymouth,HPP,3,325.0,ADS,4.0,1.309
plymouth,HPP,3,325.0,IDS,4.0,0.0
plymouth,HPP,4,356.0,IDS,1.0,6.331
plymouth,HPP,4,356.0,ADS,1.0,6.001
plymouth,HPP,4,356.0,IDS,2.0,9.387
plymouth,HPP,4,356.0,ADS,2.0,18.228
plymouth,HPP,4,356.0,ADS,3.0,4.584
plymouth,HPP,4,356.0,IDS,3.0,5.139
plymouth,HPP,4,356.0,IDS,4.0,7.103
plymouth,HPP,4,356.0,ADS,4.0,6.003
plymouth,HPP,4,356.0,ADS,5.0,0.98
plymouth,HPP,4,356.0,IDS,5.0,8.079
plymouth,HPP,4,356.0,ADS,6.0,10.269
plymouth,HPP,4,356.0,IDS,6.0,20.203
plymouth,HPP,4,356.0,IDS,7.0,7.528
plymouth,HPP,4,356.0,ADS,7.0,8.728
plymouth,HPP,4,356.0,ADS,8.0,13.209
plymouth,HPP,4,356.0,IDS,8.0,19.762
plymouth,HPP,5,239.0,ADS,1.0,8.07
plymouth,HPP,5,239.0,IDS,1.0,9.931
plymouth,HPP,5,239.0,ADS,2.0,5.119
plymouth,HPP,5,239.0,IDS,2.0,11.239
plymouth,HPP,5,239.0,IDS,3.0,11.789
plymouth,HPP,5,239.0,ADS,3.0,6.978
plymouth,HPP,5,239.0,ADS,4.0,6.439
plymouth,HPP,5,239.0,IDS,4.0,20.211
plymouth,HPP,5,239.0,IDS,5.0,14.727
plymouth,HPP,5,239.0,ADS,5.0,6.54
plymouth,HPP,5,239.0,IDS,6.0,18.218
plymouth,HPP,5,239.0,ADS,6.0,4.908
plymouth,HPP,5,239.0,ADS,7.0,8.179
plymouth,HPP,5,239.0,IDS,7.0,0.318
plymouth,HPP,5,239.0,IDS,8.0,9.598
plymouth,HPP,5,239.0,ADS,8.0,3.376
plymouth,HPP,6,333.0,ADS,1.0,2.176
plymouth,HPP,6,333.0,IDS,1.0,2.393
plymouth,HPP,6,333.0,ADS,2.0,10.148
plymouth,HPP,6,333.0,IDS,2.0,1.844
plymouth,HPP,6,333.0,IDS,3.0,0.0
plymouth,HPP,7,264.0,IDS,1.0,4.247
plymouth,HPP,7,264.0,ADS,1.0,3.377
plymouth,HPP,7,264.0,ADS,2.0,8.3
plymouth,HPP,7,264.0,IDS,2.0,3.693
plymouth,HPP,7,264.0,ADS,3.0,2.398
plymouth,HPP,7,264.0,IDS,3.0,1.959
plymouth,HPP,7,264.0,ADS,4.0,0.972
plymouth,HPP,7,264.0,IDS,4.0,1.632
plymouth,HPP,7,264.0,ADS,5.0,2.94
plymouth,HPP,7,264.0,IDS,5.0,1.084
plymouth,HPP,7,264.0,IDS,6.0,1.413
plymouth,HPP,7,264.0,ADS,6.0,4.585
plymouth,HPP,7,264.0,IDS,7.0,1.416
plymouth,HPP,7,264.0,ADS,7.0,2.401
plymouth,HPP,7,264.0,IDS,8.0,3.165
plymouth,HPP,7,264.0,ADS,8.0,1.303
plymouth,HPP,8,289.0,ADS,1.0,8.298
plymouth,HPP,8,289.0,IDS,1.0,9.19
plymouth,HPP,8,289.0,IDS,2.0,11.558
plymouth,HPP,8,289.0,ADS,2.0,7.631
plymouth,HPP,8,289.0,IDS,3.0,3.496
plymouth,HPP,8,289.0,ADS,3.0,3.704
plymouth,HPP,8,289.0,IDS,4.0,12.24
plymouth,HPP,8,289.0,ADS,4.0,3.168
plymouth,HPP,8,289.0,IDS,5.0,6.56
plymouth,HPP,8,289.0,ADS,5.0,6.78
plymouth,HPP,8,289.0,ADS,6.0,2.51
plymouth,HPP,8,289.0,IDS,6.0,3.92
plymouth,HPP,8,289.0,ADS,7.0,3.168
plymouth,HPP,8,289.0,IDS,7.0,8.516
plymouth,HPP,8,289.0,ADS,8.0,2.509
plymouth,HPP,8,289.0,IDS,8.0,2.4
plymouth,HPP,9,254.0,IDS,1.0,8.832
plymouth,HPP,9,254.0,ADS,1.0,4.478
plymouth,HPP,9,254.0,IDS,2.0,6.438
plymouth,HPP,9,254.0,ADS,2.0,6.01
plymouth,HPP,9,254.0,ADS,3.0,4.478
plymouth,HPP,9,254.0,IDS,3.0,4.04
plymouth,HPP,9,254.0,IDS,4.0,4.921
plymouth,HPP,9,254.0,ADS,4.0,3.594
plymouth,HPP,9,254.0,ADS,5.0,5.883
plymouth,HPP,9,254.0,IDS,5.0,2.833
plymouth,HPP,9,254.0,ADS,6.0,2.495
plymouth,HPP,9,254.0,IDS,6.0,2.727
plymouth,HPP,9,254.0,IDS,7.0,4.039
plymouth,HPP,9,254.0,ADS,7.0,4.474
plymouth,HPP,9,254.0,ADS,8.0,5.131
plymouth,HPP,9,254.0,IDS,8.0,4.794
ubc,single-screen,AC18,111.9,Train,1.0,6.51
ubc,single-screen,ES14,159.5,Train,1.0,9.61
ubc,single-screen,GM26,198.8,Train,1.0,18.58
ubc,single-screen,C38,169.5,Train,1.0,19.0
ubc,single-screen,SF11,181.5,Train,1.0,6.46
ubc,single-screen,M25,178.5,Train,1.0,20.0
ubc,single-screen,FA23,174.5,Train,1.0,3.79
ubc,single-screen,AJ17,153.5,Train,1.0,3.7
ubc,single-screen,EM16,133.2,Train,1.0,18.1
ubc,single-screen,OJ21,158.5,Train,1.0,18.97
ubc,single-screen,AZ13,186.8,Train,1.0,9.05
ubc,single-screen,YL19,156.5,Train,1.0,6.17
ubc,single-screen,OC20,166.5,Train,1.0,4.4
ubc,single-screen,EA24,163.5,Train,1.0,16.71
ubc,single-screen,EF27,194.8,Train,1.0,5.11
ubc,single-screen,NB33,186.8,Train,1.0,16.7
ubc,single-screen,I?35,140.2,Train,1.0,10.74
ubc,single-screen,IV34,103.9,Train,1.0,20.0
ubc,single-screen,OC29,155.5,Train,1.0,2.84
ubc,single-screen,AC18,111.9,Train,2.0,5.52
ubc,single-screen,ES14,159.5,Train,2.0,3.19
ubc,single-screen,GM26,198.8,Train,2.0,18.46
ubc,single-screen,C38,169.5,Train,2.0,8.12
ubc,single-screen,SF11,181.5,Train,2.0,12.0
ubc,single-screen,M25,178.5,Train,2.0,19.25
ubc,single-screen,FA23,174.5,Train,2.0,3.67
ubc,single-screen,AJ17,153.5,Train,2.0,14.49
ubc,single-screen,EM16,133.2,Train,2.0,18.16
ubc,single-screen,OJ21,158.5,Train,2.0,9.58
ubc,single-screen,AZ13,186.8,Train,2.0,7.66
ubc,single-screen,YL19,156.5,Train,2.0,19.59
ubc,single-screen,OC20,166.5,Train,2.0,15.04
ubc,single-screen,EA24,163.5,Train,2.0,4.57
